session_id,session_config_id,game_id,cpu_model,gpu_model,ram_gb,drive_type,laptop,resolution,graphics_preset,vsync,antialiasing,texture_quality,special_effects,npc_count,player_actions,background_process_count,label_target,tweak_affinity,tweak_game_mode,tweak_hags,tweak_low_timer_resolution,tweak_power_plan,tweak_priority,tweak_recording_off,tweak_registry_preset,tweak_service,mean_fps,fps_1pct,fps_0_1pct,mean_frametime,frametime_p95,cpu_util,gpu_util,vram_util,temperature
synthetic-00005-06,cfg-00005,valorant,AMD Ryzen 7 5800X3D,NVIDIA GTX 1060 6GB,16,NVMe,0,1920x1080,ultra,off,fxaa,high,ultra,103,149,99,balanced,0,0,0,0,0,1,0,0,0,179.46,141.35,113.08,5.572,7.075,99.0,52.0,47.28,64.0
synthetic-00005-07,cfg-00005,valorant,AMD Ryzen 7 5800X3D,NVIDIA GTX 1060 6GB,16,NVMe,0,1920x1080,ultra,off,fxaa,high,ultra,103,149,99,balanced,0,0,0,0,0,0,1,0,0,169.36,120.95,96.76,5.905,8.268,99.0,52.0,47.28,64.0
synthetic-00005-08,cfg-00005,valorant,AMD Ryzen 7 5800X3D,NVIDIA GTX 1060 6GB,16,NVMe,0,1920x1080,ultra,off,fxaa,high,ultra,103,149,99,balanced,0,0,0,0,0,0,0,1,0,172.77,127.12,101.7,5.788,7.867,99.0,52.0,47.28,64.0
synthetic-00005-09,cfg-00005,valorant,AMD Ryzen 7 5800X3D,NVIDIA GTX 1060 6GB,16,NVMe,0,1920x1080,ultra,off,fxaa,high,ultra,103,149,99,balanced,0,0,0,0,0,0,0,0,1,174.96,133.22,106.57,5.715,7.507,99.0,52.0,47.28,64.0
synthetic-00005-10,cfg-00005,valorant,AMD Ryzen 7 5800X3D,NVIDIA GTX 1060 6GB,16,NVMe,0,1920x1080,ultra,off,fxaa,high,ultra,103,149,99,balanced,1,0,0,0,0,0,0,0,1,176.34,138.17,110.54,5.671,7.237,99.0,52.0,47.28,64.0
synthetic-00005-11,cfg-00005,valorant,AMD Ryzen 7 5800X3D,NVIDIA GTX 1060 6GB,16,NVMe,0,1920x1080,ultra,off,fxaa,high,ultra,103,149,99,balanced,0,0,1,0,0,0,0,0,1,173.32,130.29,104.23,5.77,7.675,99.0,52.0,47.28,64.0
synthetic-00005-12,cfg-00005,valorant,AMD Ryzen 7 5800X3D,NVIDIA GTX 1060 6GB,16,NVMe,0,1920x1080,ultra,off,fxaa,high,ultra,103,149,99,balanced,0,0,0,0,0,0,1,1,1,182.18,146.06,116.85,5.489,6.847,98.95,52.0,47.28,64.0
synthetic-00006-00,cfg-00006,warzone,Intel Core i7-12700H,AMD RX 7800 XT,16,SSD,0,2560x1440,low,off,off,low,low,40,155,62,max_fps,0,0,0,0,0,0,0,0,0,153.44,112.72,90.17,6.517,8.872,93.72,54.2,44.56,64.0
synthetic-00006-01,cfg-00006,warzone,Intel Core i7-12700H,AMD RX 7800 XT,16,SSD,0,2560x1440,low,off,off,low,low,40,155,62,max_fps,1,0,0,0,0,0,0,0,0,161.88,129.55,103.64,6.177,7.719,92.18,54.2,44.56,64.0
synthetic-00006-02,cfg-00006,warzone,Intel Core i7-12700H,AMD RX 7800 XT,16,SSD,0,2560x1440,low,off,off,low,low,40,155,62,max_fps,0,1,0,0,0,0,0,0,0,158.04,121.26,97.0,6.328,8.247,92.88,54.2,44.56,64.0
synthetic-00006-03,cfg-00006,warzone,Intel Core i7-12700H,AMD RX 7800 XT,16,SSD,0,2560x1440,low,off,off,low,low,40,155,62,max_fps,0,0,1,0,0,0,0,0,0,156.82,118.3,94.64,6.377,8.453,93.1,54.2,44.56,64.0
synthetic-00006-04,cfg-00006,warzone,Intel Core i7-12700H,AMD RX 7800 XT,16,SSD,0,2560x1440,low,off,off,low,low,40,155,62,max_fps,0,0,0,1,0,0,0,0,0,155.59,122.14,97.71,6.427,8.188,93.33,54.2,44.56,64.0
synthetic-00006-05,cfg-00006,warzone,Intel Core i7-12700H,AMD RX 7800 XT,16,SSD,0,2560x1440,low,off,off,low,low,40,155,62,max_fps,0,0,0,0,1,0,0,0,0,159.89,123.5,98.8,6.254,8.097,92.54,54.2,44.56,64.0
synthetic-00006-06,cfg-00006,warzone,Intel Core i7-12700H,AMD RX 7800 XT,16,SSD,0,2560x1440,low,off,off,low,low,40,155,62,max_fps,0,0,0,0,0,1,0,0,0,163.19,130.52,104.41,6.128,7.662,91.94,54.2,44.56,64.0
synthetic-00006-07,cfg-00006,warzone,Intel Core i7-12700H,AMD RX 7800 XT,16,SSD,0,2560x1440,low,off,off,low,low,40,155,62,max_fps,0,0,0,0,0,0,1,0,0,155.9,116.77,93.41,6.414,8.564,93.27,54.2,44.56,64.0
synthetic-00006-08,cfg-00006,warzone,Intel Core i7-12700H,AMD RX 7800 XT,16,SSD,0,2560x1440,low,off,off,low,low,40,155,62,max_fps,0,0,0,0,0,0,0,1,0,160.84,126.95,101.56,6.217,7.877,92.37,54.2,44.56,64.0
synthetic-00006-09,cfg-00006,warzone,Intel Core i7-12700H,AMD RX 7800 XT,16,SSD,0,2560x1440,low,off,off,low,low,40,155,62,max_fps,0,0,0,0,0,0,0,0,1,157.72,120.95,96.76,6.34,8.268,92.94,54.2,44.56,64.0
synthetic-00006-10,cfg-00006,warzone,Intel Core i7-12700H,AMD RX 7800 XT,16,SSD,0,2560x1440,low,off,off,low,low,40,155,62,max_fps,1,0,0,0,0,0,0,1,0,168.57,143.21,114.57,5.932,6.983,90.96,54.2,44.56,64.0
synthetic-00006-11,cfg-00006,warzone,Intel Core i7-12700H,AMD RX 7800 XT,16,SSD,0,2560x1440,low,off,off,low,low,40,155,62,max_fps,1,0,0,1,0,0,1,0,1,168.43,147.43,117.95,5.937,6.783,90.98,54.2,44.56,64.0
synthetic-00006-12,cfg-00006,warzone,Intel Core i7-12700H,AMD RX 7800 XT,16,SSD,0,2560x1440,low,off,off,low,low,40,155,62,max_fps,1,0,0,0,0,0,1,0,0,163.85,132.9,106.32,6.103,7.525,91.82,54.2,44.56,64.0
synthetic-00007-00,cfg-00007,cyberpunk_2077,Intel Core i5-9400F,NVIDIA RTX 3060 Laptop,16,SSD,0,1920x1080,high,on,msaa_4x,high,low,20,195,60,quality,0,0,0,0,0,0,0,0,0,76.49,56.33,45.06,13.074,17.753,47.29,96.0,47.28,64.0
synthetic-00007-01,cfg-00007,cyberpunk_2077,Intel Core i5-9400F,NVIDIA RTX 3060 Laptop,16,SSD,0,1920x1080,high,on,msaa_4x,high,low,20,195,60,quality,1,0,0,0,0,0,0,0,0,78.63,59.89,47.91,12.718,16.698,46.51,96.0,47.28,64.0
