,ram_gb,laptop,npc_count,player_actions,background_process_count,tweak_affinity,tweak_game_mode,tweak_hags,tweak_low_timer_resolution,tweak_power_plan,tweak_priority,tweak_recording_off,tweak_registry_preset,tweak_service,mean_fps,fps_1pct,fps_0_1pct,mean_frametime,frametime_p95,cpu_util,gpu_util,vram_util,temperature
tweak_priority,0.0166,0.0027,-0.0116,-0.0043,-0.0095,-0.0506,-0.0062,-0.0297,-0.0176,-0.0339,1.0,-0.0144,-0.031,-0.0318,0.0231,0.0682,0.067,-0.0189,-0.054,-0.013,0.0006,0.0186,0.0044
tweak_recording_off,0.0053,0.0079,0.0063,0.0261,-0.0068,-0.0034,0.0069,-0.0118,0.0059,-0.0275,-0.0144,1.0,-0.0361,0.0193,0.0173,0.0456,0.0443,-0.022,-0.0547,-0.0224,0.0098,-0.0022,0.0075
tweak_registry_preset,-0.0265,0.0123,-0.0081,-0.0184,0.0153,-0.0011,-0.0056,-0.0096,-0.0173,0.0266,-0.031,-0.0361,1.0,-0.0268,0.0581,0.0945,0.0933,-0.0425,-0.0703,0.0133,-0.0256,-0.0277,0.0091
tweak_service,0.0181,-0.0095,0.0013,-0.0049,-0.0016,-0.0274,-0.0171,-0.0405,-0.0062,-0.0182,-0.0318,0.0193,-0.0268,1.0,0.0042,0.0336,0.034,-0.0003,-0.0295,-0.0068,0.0021,0.0167,-0.0066
mean_fps,0.0182,-0.0584,-0.2732,-0.3082,-0.1105,0.0265,0.0305,-0.0088,-0.0084,0.0291,0.0231,0.0173,0.0581,0.0042,1.0,0.9892,0.9875,-0.882,-0.8743,0.3993,-0.4727,-0.2687,-0.0985
fps_1pct,0.0201,-0.0456,-0.2687,-0.3039,-0.1532,0.057,0.0567,0.0047,0.0115,0.0793,0.0682,0.0456,0.0945,0.0336,0.9892,1.0,0.9966,-0.8705,-0.877,0.3871,-0.4679,-0.2631,-0.083
fps_0_1pct,0.0243,-0.1224,-0.2643,-0.2942,-0.1486,0.058,0.0553,0.0046,0.0121,0.0794,0.067,0.0443,0.0933,0.034,0.9875,0.9966,1.0,-0.8693,-0.875,0.3905,-0.4729,-0.2682,-0.1591
mean_frametime,-0.0288,0.0667,0.2029,0.252,0.0712,-0.0279,-0.0287,0.0026,0.014,-0.0262,-0.0189,-0.022,-0.0425,-0.0003,-0.882,-0.8705,-0.8693,1.0,0.9913,-0.3756,0.4396,0.3174,0.1046
frametime_p95,-0.0257,0.0616,0.2017,0.2445,0.112,-0.0459,-0.0479,-0.0137,-0.0005,-0.0715,-0.054,-0.0547,-0.0703,-0.0295,-0.8743,-0.877,-0.875,0.9913,1.0,-0.3658,0.436,0.3142,0.0962
cpu_util,0.0034,-0.0421,0.0411,0.143,0.1825,-0.0014,0.0001,-0.0366,-0.0146,-0.0413,-0.013,-0.0224,0.0133,-0.0068,0.3993,0.3871,0.3905,-0.3756,-0.3658,1.0,-0.8954,-0.1342,-0.0542
gpu_util,0.0494,0.0376,-0.0379,-0.0853,0.0061,-0.008,-0.0003,0.0219,0.0044,0.0175,0.0006,0.0098,-0.0256,0.0021,-0.4727,-0.4679,-0.4729,0.4396,0.436,-0.8954,1.0,0.204,0.1382
vram_util,-0.0371,0.1038,0.1105,0.1254,0.0008,-0.0164,-0.0251,0.0248,-0.0049,-0.0132,0.0186,-0.0022,-0.0277,0.0167,-0.2687,-0.2631,-0.2682,0.3174,0.3142,-0.1342,0.204,1.0,0.1348
temperature,-0.0257,0.9703,-0.0194,-0.0938,0.0108,-0.0192,0.0176,-0.0106,-0.0117,-0.0238,0.0044,0.0075,0.0091,-0.0066,-0.0985,-0.083,-0.1591,0.1046,0.0962,-0.0542,0.1382,0.1348,1.0
