row_index,column,value,lower_bound,upper_bound
1271,mean_fps,277.11,-6.5612499999999585,237.66874999999993
1272,mean_fps,277.91,-6.5612499999999585,237.66874999999993
1273,mean_fps,285.14,-6.5612499999999585,237.66874999999993
1443,mean_fps,241.17,-6.5612499999999585,237.66874999999993
1444,mean_fps,244.69,-6.5612499999999585,237.66874999999993
1445,mean_fps,248.82,-6.5612499999999585,237.66874999999993
1446,mean_fps,246.48,-6.5612499999999585,237.66874999999993
1447,mean_fps,242.35,-6.5612499999999585,237.66874999999993
1448,mean_fps,251.3,-6.5612499999999585,237.66874999999993
1449,mean_fps,257.0,-6.5612499999999585,237.66874999999993
1450,mean_fps,245.03,-6.5612499999999585,237.66874999999993
1451,mean_fps,249.97,-6.5612499999999585,237.66874999999993
1452,mean_fps,252.36,-6.5612499999999585,237.66874999999993
1453,mean_fps,247.36,-6.5612499999999585,237.66874999999993
1454,mean_fps,258.26,-6.5612499999999585,237.66874999999993
1455,mean_fps,264.7,-6.5612499999999585,237.66874999999993
1729,mean_fps,274.24,-6.5612499999999585,237.66874999999993
1730,mean_fps,289.33,-6.5612499999999585,237.66874999999993
1731,mean_fps,280.28,-6.5612499999999585,237.66874999999993
1732,mean_fps,280.28,-6.5612499999999585,237.66874999999993
1733,mean_fps,278.08,-6.5612499999999585,237.66874999999993
1734,mean_fps,297.83,-6.5612499999999585,237.66874999999993
1735,mean_fps,289.05,-6.5612499999999585,237.66874999999993
1736,mean_fps,278.63,-6.5612499999999585,237.66874999999993
1737,mean_fps,285.73,-6.5612499999999585,237.66874999999993
1738,mean_fps,277.53,-6.5612499999999585,237.66874999999993
1739,mean_fps,303.92,-6.5612499999999585,237.66874999999993
1740,mean_fps,292.05,-6.5612499999999585,237.66874999999993
1741,mean_fps,296.95,-6.5612499999999585,237.66874999999993
1979,mean_fps,240.01,-6.5612499999999585,237.66874999999993
1981,mean_fps,240.48,-6.5612499999999585,237.66874999999993
1982,mean_fps,239.07,-6.5612499999999585,237.66874999999993
1983,mean_fps,238.6,-6.5612499999999585,237.66874999999993
1984,mean_fps,239.99,-6.5612499999999585,237.66874999999993
1986,mean_fps,246.6,-6.5612499999999585,237.66874999999993
1987,mean_fps,251.89,-6.5612499999999585,237.66874999999993
1988,mean_fps,244.22,-6.5612499999999585,237.66874999999993
350,fps_1pct,197.06,-9.443749999999994,191.94625
400,fps_1pct,202.17,-9.443749999999994,191.94625
777,fps_1pct,202.18,-9.443749999999994,191.94625
986,fps_1pct,231.27,-9.443749999999994,191.94625
987,fps_1pct,211.99,-9.443749999999994,191.94625
1015,fps_1pct,197.01,-9.443749999999994,191.94625
1016,fps_1pct,197.55,-9.443749999999994,191.94625
1017,fps_1pct,197.55,-9.443749999999994,191.94625
1019,fps_1pct,227.61,-9.443749999999994,191.94625
1020,fps_1pct,211.27,-9.443749999999994,191.94625
1021,fps_1pct,195.04,-9.443749999999994,191.94625
1022,fps_1pct,204.52,-9.443749999999994,191.94625
1023,fps_1pct,193.36,-9.443749999999994,191.94625
1024,fps_1pct,224.5,-9.443749999999994,191.94625
1025,fps_1pct,220.59,-9.443749999999994,191.94625
1026,fps_1pct,235.5,-9.443749999999994,191.94625
1183,fps_1pct,197.81,-9.443749999999994,191.94625
1184,fps_1pct,206.89,-9.443749999999994,191.94625
1185,fps_1pct,208.2,-9.443749999999994,191.94625
1186,fps_1pct,207.45,-9.443749999999994,191.94625
1187,fps_1pct,199.94,-9.443749999999994,191.94625
1188,fps_1pct,216.42,-9.443749999999994,191.94625
1189,fps_1pct,222.86,-9.443749999999994,191.94625
1190,fps_1pct,204.8,-9.443749999999994,191.94625
1191,fps_1pct,214.79,-9.443749999999994,191.94625
1192,fps_1pct,204.36,-9.443749999999994,191.94625
1193,fps_1pct,220.95,-9.443749999999994,191.94625
1194,fps_1pct,240.74,-9.443749999999994,191.94625
1195,fps_1pct,244.08,-9.443749999999994,191.94625
1262,fps_1pct,195.54,-9.443749999999994,191.94625
1263,fps_1pct,203.16,-9.443749999999994,191.94625
1264,fps_1pct,196.0,-9.443749999999994,191.94625
1266,fps_1pct,204.68,-9.443749999999994,191.94625
1267,fps_1pct,219.32,-9.443749999999994,191.94625
1268,fps_1pct,193.44,-9.443749999999994,191.94625
1269,fps_1pct,203.12,-9.443749999999994,191.94625
1270,fps_1pct,204.35,-9.443749999999994,191.94625
1271,fps_1pct,225.77,-9.443749999999994,191.94625
1272,fps_1pct,224.93,-9.443749999999994,191.94625
1273,fps_1pct,236.29,-9.443749999999994,191.94625
1448,fps_1pct,192.68,-9.443749999999994,191.94625
1449,fps_1pct,205.04,-9.443749999999994,191.94625
1452,fps_1pct,196.7,-9.443749999999994,191.94625
1454,fps_1pct,210.29,-9.443749999999994,191.94625
1455,fps_1pct,219.46,-9.443749999999994,191.94625
1729,fps_1pct,208.42,-9.443749999999994,191.94625
1730,fps_1pct,238.9,-9.443749999999994,191.94625
1731,fps_1pct,218.56,-9.443749999999994,191.94625
1732,fps_1pct,218.56,-9.443749999999994,191.94625
1733,fps_1pct,223.61,-9.443749999999994,191.94625
1734,fps_1pct,251.81,-9.443749999999994,191.94625
1735,fps_1pct,233.73,-9.443749999999994,191.94625
1736,fps_1pct,215.77,-9.443749999999994,191.94625
1737,fps_1pct,229.91,-9.443749999999994,191.94625
1738,fps_1pct,213.92,-9.443749999999994,191.94625
1739,fps_1pct,266.97,-9.443749999999994,191.94625
1740,fps_1pct,247.81,-9.443749999999994,191.94625
1741,fps_1pct,260.71,-9.443749999999994,191.94625
1843,fps_1pct,193.84,-9.443749999999994,191.94625
1986,fps_1pct,200.01,-9.443749999999994,191.94625
1987,fps_1pct,209.4,-9.443749999999994,191.94625
1988,fps_1pct,195.93,-9.443749999999994,191.94625
